index,atr,atr_is_zero,model_score,model_score_low,low_last,median_last,high_last,predicted_up,regime,raw_score,action,confidence
0,0.11333333333333329,False,0.07980045338764295,True,16.541004180908203,16.73163414001465,16.922264099121094,True,neutral,0.0,HOLD,0.0
1,0.14000000000000057,False,0.0663995024961785,True,16.52207041391525,16.7098331451416,16.89759587636795,True,neutral,0.0,HOLD,0.0
2,0.163333333333334,False,0.047776294632381984,True,16.522294115453835,16.703657150268555,16.885020185083274,True,neutral,0.0,HOLD,0.0
3,0.07666666666666799,False,0.05511200473746085,True,16.565895080566406,16.751998901367188,16.93810272216797,True,neutral,0.0,HOLD,0.0
4,0.06333333333333376,False,0.05543033222312745,True,16.55305186754902,16.730756759643555,16.90846165173809,True,neutral,0.0,HOLD,0.0
5,0.07000000000000028,False,0.1279731973874827,True,16.63222026824951,16.808597564697266,16.98497486114502,True,neutral,0.0,HOLD,0.0
6,0.07666666666666681,False,0.04381944649556877,True,16.59441076102528,16.755046844482422,16.915682927939564,True,neutral,0.0,HOLD,0.0
7,0.07000000000000028,False,0.03192889730213502,True,16.539530754089355,16.698122024536133,16.85671329498291,True,neutral,0.0,HOLD,0.0
8,0.06333333333333376,False,0.10834496230695112,True,16.538766043562827,16.681610107421875,16.824454171280923,True,neutral,0.0,HOLD,0.0
9,0.05333333333333338,False,0.03731179567562445,True,16.490007593332965,16.635234832763672,16.78046207219438,True,neutral,0.0,HOLD,0.0
10,0.06333333333333376,False,0.031411288043157994,True,16.46587398730735,16.61435317993164,16.76283237255593,True,neutral,0.0,HOLD,0.0
11,0.05666666666666723,False,0.04411415733595366,True,16.446006760114095,16.600082397460938,16.75415803480778,True,neutral,0.0,HOLD,0.0
12,0.05000000000000071,False,0.04612250466773639,True,16.441357793563625,16.60232925415039,16.763300714737156,True,neutral,0.0,HOLD,0.0
13,0.046666666666666856,False,0.07182550892576312,True,16.392112482635635,16.561344146728516,16.730575810821396,True,neutral,0.0,HOLD,0.0
14,0.040000000000000334,False,0.14184634308869054,True,16.347399437572566,16.52880096435547,16.71020249113837,True,neutral,0.0,HOLD,0.0
15,0.046666666666666856,False,0.26574946736934546,True,16.27260976277336,16.463376998901367,16.654144235029374,True,neutral,0.0,HOLD,0.0
16,0.046666666666666856,False,0.21867996553686259,True,16.237051029717634,16.430927276611328,16.624803523505022,True,neutral,0.0,HOLD,0.0
17,0.05666666666666605,False,0.24012852423851716,True,16.17758642602647,16.374755859375,16.57192529272353,True,neutral,0.0,HOLD,0.0
18,0.05666666666666605,False,0.21813992074386448,True,16.16533143325245,16.37299346923828,16.58065550522411,True,neutral,0.0,HOLD,0.0
19,0.049999999999999524,False,0.17637733825752186,True,16.222147130878426,16.426801681518555,16.631456232158683,True,neutral,0.0,HOLD,0.0
20,0.05000000000000071,False,0.09408852057906636,True,16.31284537545638,16.512605667114258,16.712365958772136,True,neutral,0.0,HOLD,0.0
21,0.04333333333333419,False,0.08832316295563099,True,16.3099099272578,16.501426696777344,16.69294346629689,True,neutral,0.0,HOLD,0.0
22,0.04333333333333419,False,0.041168181581928046,True,16.302616070572466,16.491596221923828,16.68057637327519,True,neutral,0.0,HOLD,0.0
23,0.03666666666666648,False,0.04776911791807066,True,16.337962380241056,16.52530860900879,16.712654837776522,True,neutral,0.0,HOLD,0.0
24,0.049999999999999524,False,0.032583940017796374,True,16.360875224542,16.550146102905273,16.739416981268548,True,neutral,0.0,HOLD,0.0
25,0.049999999999999524,False,0.12107110174685902,True,16.33171912651909,16.516490936279297,16.701262746039504,True,neutral,0.0,HOLD,0.0
26,0.049999999999999524,False,0.18777916439947803,True,16.288991651182904,16.47283935546875,16.656687059754596,True,neutral,0.0,HOLD,0.0
27,0.040000000000000334,False,0.21126536900189716,True,16.31987335069462,16.493709564208984,16.667545777723348,True,neutral,0.0,HOLD,0.0
28,0.033333333333333805,False,0.21583197932413714,True,16.343416695656686,16.50689697265625,16.670377249655814,True,neutral,0.0,HOLD,0.0
29,0.030000000000001137,False,0.1998903742591465,True,16.350480212867776,16.506736755371094,16.66299329787441,True,neutral,0.0,HOLD,0.0
30,0.0266666666666661,False,0.11458222383262981,True,16.387643814086914,16.567642211914062,16.74764060974121,True,neutral,0.0,HOLD,0.0
31,0.029999999999999954,False,0.16610933645642845,True,16.3917179107666,16.593664169311523,16.795610427856445,True,neutral,0.0,HOLD,0.0
32,0.029999999999999954,False,0.16828711091657328,True,16.411026000976562,16.609172821044922,16.80731964111328,True,neutral,0.0,HOLD,0.0
33,0.029999999999999954,False,0.1817813966968675,True,16.394742012023926,16.60154151916504,16.808341026306152,True,neutral,0.0,HOLD,0.0
34,0.033333333333333805,False,0.17021961197942997,True,16.38436985015869,16.621910095214844,16.859450340270996,True,neutral,0.0,HOLD,0.0
35,0.046666666666666856,False,0.10156344732780127,True,16.37024688720703,16.554779052734375,16.73931121826172,True,neutral,0.0,HOLD,0.0
36,0.05000000000000071,False,0.09802244894376805,True,16.384224891662598,16.5639591217041,16.743693351745605,True,neutral,0.0,HOLD,0.0
37,0.049999999999999524,False,0.10224830641651546,True,16.408751487731934,16.587078094482422,16.76540470123291,True,neutral,0.0,HOLD,0.0
38,0.03666666666666648,False,0.06814819820264686,True,16.412699699401855,16.562963485717773,16.71322727203369,True,neutral,0.0,HOLD,0.0
39,0.033333333333333805,False,0.05079472520101497,True,16.403286933898926,16.54805564880371,16.692824363708496,True,neutral,0.0,HOLD,0.0
40,0.04333333333333419,False,0.029612142070043583,True,16.352927207946777,16.489686965942383,16.62644672393799,True,neutral,0.0,HOLD,0.0
