sz159908,创业板ETF
sh600584,长电科技
sh512760,芯片ETF
sh588200,半导体ETF
sh600498,烽火通讯
sz301099,雅创电子
sh601619,嘉泽新能
sz300499,高澜股份
sz002463,沪电股份
sh600879,航天电子
sh603178,圣龙股份
sz000700,模塑科技
sz300790,宇瞳光学
sz000559,万向钱潮
sh600031,三一重工
sh600887,伊利股份
sz300161,华中数控
sz301696,三瑞智能
sh603728,鸣志电器
